source_key,category,source_name,proposed_public_name,public_slug,name_approval_status,reference_brand,reference_fragrance,legal_review_status,counsel_decision,counsel_conditions,evidence_reference
main_list:31,inspired_collection,Bright Crystal,Inspired by Versace Bright Crystal,inspired-by-versace-bright-crystal,listing_title_recorded,Versace,Bright Crystal,india_counsel_pending,,,COM-ADR-033
main_list:32,inspired_collection,CR7,Inspired by Cristiano Ronaldo CR7,inspired-by-cristiano-ronaldo-cr7,listing_title_recorded,Cristiano Ronaldo,CR7,india_counsel_pending,,,COM-ADR-033
main_list:33,inspired_collection,Dunhill Icon,Inspired by Dunhill Icon,inspired-by-dunhill-icon,listing_title_recorded,Dunhill,Icon,india_counsel_pending,,,
main_list:34,inspired_collection,Diptyque Tam Dao,Inspired by Diptyque Tam Dao,inspired-by-diptyque-tam-dao,listing_title_recorded,Diptyque,Tam Dao family,india_counsel_pending,,,
main_list:35,inspired_collection,One Million Lucky,Inspired by Rabanne 1 Million Lucky,inspired-by-rabanne-1-million-lucky,listing_title_recorded,Rabanne,1 Million Lucky,india_counsel_pending,,,
main_list:36,inspired_collection,CH 212 Men,Inspired by Carolina Herrera 212 Men,inspired-by-carolina-herrera-212-men,listing_title_recorded,Carolina Herrera,212 Men family,india_counsel_pending,,,COM-ADR-033
main_list:37,inspired_collection,212 VIP Men,Inspired by Carolina Herrera 212 VIP Men,inspired-by-carolina-herrera-212-vip-men,listing_title_recorded,Carolina Herrera,212 VIP Men,india_counsel_pending,,,
main_list:38,inspired_collection,Azzaro Most Wanted,Inspired by Azzaro The Most Wanted,inspired-by-azzaro-the-most-wanted,listing_title_recorded,Azzaro,The Most Wanted,india_counsel_pending,,,
main_list:39,inspired_collection,JPG Scandal,Inspired by Jean Paul Gaultier Scandal,inspired-by-jean-paul-gaultier-scandal,listing_title_recorded,Jean Paul Gaultier,Scandal family,india_counsel_pending,,,COM-ADR-033
main_list:40,inspired_collection,Tom Ford Oud Wood,Inspired by Tom Ford Oud Wood,inspired-by-tom-ford-oud-wood,listing_title_recorded,Tom Ford,Oud Wood,india_counsel_pending,,,
main_list:41,inspired_collection,I Want Choo,Inspired by Jimmy Choo I Want Choo,inspired-by-jimmy-choo-i-want-choo,listing_title_recorded,Jimmy Choo,I Want Choo,india_counsel_pending,,,
main_list:42,inspired_collection,Burberry Her,Inspired by Burberry Her,inspired-by-burberry-her,listing_title_recorded,Burberry,Her family,india_counsel_pending,,,
main_list:43,inspired_collection,1 Million,Inspired by Rabanne 1 Million,inspired-by-rabanne-1-million,listing_title_recorded,Rabanne,1 Million,india_counsel_pending,,,
main_list:44,inspired_collection,Armani Passione,Inspired by Giorgio Armani Sì Passione,inspired-by-giorgio-armani-si-passione,listing_title_recorded,Giorgio Armani,Sì Passione family,india_counsel_pending,,,
main_list:45,inspired_collection,Polo Sport Women,Inspired by Ralph Lauren Polo Sport Woman,inspired-by-ralph-lauren-polo-sport-woman,listing_title_recorded,Ralph Lauren,Polo Sport Woman,india_counsel_pending,,,COM-ADR-033
main_list:46,inspired_collection,Ultra Male,Inspired by Jean Paul Gaultier Ultra Male,inspired-by-jean-paul-gaultier-ultra-male,listing_title_recorded,Jean Paul Gaultier,Ultra Male,india_counsel_pending,,,
main_list:47,inspired_collection,Gucci Bloom,Inspired by Gucci Bloom,inspired-by-gucci-bloom,listing_title_recorded,Gucci,Bloom family,india_counsel_pending,,,
main_list:48,inspired_collection,Flower Bomb,Inspired by Viktor&Rolf Flowerbomb,inspired-by-viktor-rolf-flowerbomb,listing_title_recorded,Viktor&Rolf,Flowerbomb,india_counsel_pending,,,
main_list:49,inspired_collection,Coco Chanel,Inspired by Chanel Coco,inspired-by-chanel-coco,listing_title_recorded,Chanel,Coco,india_counsel_pending,,,COM-ADR-033
main_list:50,inspired_collection,Invictus,Inspired by Rabanne Invictus,inspired-by-rabanne-invictus,listing_title_recorded,Rabanne,Invictus family,india_counsel_pending,,,
main_list:51,inspired_collection,YSL Libre,Inspired by Yves Saint Laurent Libre,inspired-by-yves-saint-laurent-libre,listing_title_recorded,Yves Saint Laurent,Libre family,india_counsel_pending,,,
main_list:52,inspired_collection,Erba Pura,Inspired by Xerjoff Erba Pura,inspired-by-xerjoff-erba-pura,listing_title_recorded,Xerjoff,Erba Pura,india_counsel_pending,,,
main_list:53,inspired_collection,Club de Nuit,Inspired by Armaf Club de Nuit,inspired-by-armaf-club-de-nuit,listing_title_recorded,Armaf,Club de Nuit family,india_counsel_pending,,,COM-ADR-033
main_list:54,inspired_collection,Baccarat Rouge 540,Inspired by Maison Francis Kurkdjian Baccarat Rouge 540,inspired-by-maison-francis-kurkdjian-baccarat-rouge-540,listing_title_recorded,Maison Francis Kurkdjian,Baccarat Rouge 540 family,india_counsel_pending,,,COM-ADR-033
main_list:55,inspired_collection,Ombre Nomad,Inspired by Louis Vuitton Ombre Nomade,inspired-by-louis-vuitton-ombre-nomade,listing_title_recorded,Louis Vuitton,Ombre Nomade,india_counsel_pending,,,
main_list:56,inspired_collection,Prada Candy,Inspired by Prada Candy,inspired-by-prada-candy,listing_title_recorded,Prada,Candy family,india_counsel_pending,,,
main_list:57,inspired_collection,Black Orchid,Inspired by Tom Ford Black Orchid,inspired-by-tom-ford-black-orchid,listing_title_recorded,Tom Ford,Black Orchid family,india_counsel_pending,,,
main_list:58,inspired_collection,Dior Homme Intense,Inspired by Dior Homme Intense,inspired-by-dior-homme-intense,listing_title_recorded,Dior,Dior Homme Intense,india_counsel_pending,,,
main_list:59,inspired_collection,Delina,Inspired by Parfums de Marly Delina,inspired-by-parfums-de-marly-delina,listing_title_recorded,Parfums de Marly,Delina family,india_counsel_pending,,,
main_list:60,inspired_collection,Chocolate Musk,Inspired by Al-Rehab Choco Musk,inspired-by-al-rehab-choco-musk,listing_title_recorded,Al-Rehab,Choco Musk,india_counsel_pending,,,COM-ADR-033
main_list:61,inspired_collection,One Million Elixir,Inspired by Rabanne 1 Million Elixir,inspired-by-rabanne-1-million-elixir,listing_title_recorded,Rabanne,1 Million Elixir,india_counsel_pending,,,
main_list:62,inspired_collection,Narciso For Her,Inspired by Narciso Rodriguez for Her,inspired-by-narciso-rodriguez-for-her,listing_title_recorded,Narciso Rodriguez,for Her family,india_counsel_pending,,,
main_list:63,inspired_collection,Good Girl,Inspired by Carolina Herrera Good Girl,inspired-by-carolina-herrera-good-girl,listing_title_recorded,Carolina Herrera,Good Girl family,india_counsel_pending,,,
main_list:64,inspired_collection,Black Opium,Inspired by Yves Saint Laurent Black Opium,inspired-by-yves-saint-laurent-black-opium,listing_title_recorded,Yves Saint Laurent,Black Opium family,india_counsel_pending,,,
main_list:65,inspired_collection,Burberry Weekend,Inspired by Burberry Weekend,inspired-by-burberry-weekend,listing_title_recorded,Burberry,Weekend family,india_counsel_pending,,,COM-ADR-033
main_list:66,inspired_collection,Terre d'Hermes,Inspired by Hermès Terre d'Hermès,inspired-by-hermes-terre-dhermes,listing_title_recorded,Hermès,Terre d'Hermès family,india_counsel_pending,,,
main_list:67,inspired_collection,Tom Ford Tobacco Vanille,Inspired by Tom Ford Tobacco Vanille,inspired-by-tom-ford-tobacco-vanille,listing_title_recorded,Tom Ford,Tobacco Vanille,india_counsel_pending,,,
main_list:68,inspired_collection,VS Bombshell,Inspired by Victoria's Secret Bombshell,inspired-by-victorias-secret-bombshell,listing_title_recorded,Victoria's Secret,Bombshell family,india_counsel_pending,,,
main_list:69,inspired_collection,Bvlgari Man in Black,Inspired by Bvlgari Man in Black,inspired-by-bvlgari-man-in-black,listing_title_recorded,Bvlgari,Man in Black family,india_counsel_pending,,,
main_list:70,inspired_collection,Versace Dylan Blue,Inspired by Versace Dylan Blue Pour Homme,inspired-by-versace-dylan-blue-pour-homme,listing_title_recorded,Versace,Dylan Blue Pour Homme,india_counsel_pending,,,COM-ADR-033
main_list:71,inspired_collection,Ombre Leather,Inspired by Tom Ford Ombré Leather,inspired-by-tom-ford-ombre-leather,listing_title_recorded,Tom Ford,Ombré Leather family,india_counsel_pending,,,
main_list:72,unknown_collection,Oud of Aura,Oud of Aura,oud-of-aura,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:73,unknown_collection,Arabian Oud,Arabian Oud,arabian-oud,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:74,inspired_collection,CK Escape,Inspired by Calvin Klein Escape,inspired-by-calvin-klein-escape,listing_title_recorded,Calvin Klein,Escape,india_counsel_pending,,,COM-ADR-033
main_list:75,unknown_collection,Leather Noir,Leather Noir,leather-noir,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:76,unknown_collection,Amber Al Oud,Amber Al Oud,amber-al-oud,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:77,inspired_collection,Purple Oud,Inspired by Dior Purple Oud,inspired-by-dior-purple-oud,listing_title_recorded,Dior,Purple Oud,india_counsel_pending,,,COM-ADR-033
main_list:78,inspired_collection,Gucci Guilty,Inspired by Gucci Guilty,inspired-by-gucci-guilty,listing_title_recorded,Gucci,Guilty family,india_counsel_pending,,,
main_list:79,inspired_collection,Yara Candy,Inspired by Lattafa Yara Candy,inspired-by-lattafa-yara-candy,listing_title_recorded,Lattafa,Yara Candy,india_counsel_pending,,,
main_list:80,inspired_collection,Khamrah,Inspired by Lattafa Khamrah,inspired-by-lattafa-khamrah,listing_title_recorded,Lattafa,Khamrah,india_counsel_pending,,,
main_list:81,unknown_collection,White Oud,White Oud,white-oud,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:82,unknown_collection,Candy Oud,Candy Oud,candy-oud,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:83,unknown_collection,Coffee,Coffee,coffee,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:84,inspired_collection,Wisal,Inspired by Ajmal Wisal,inspired-by-ajmal-wisal,listing_title_recorded,Ajmal,Wisal,india_counsel_pending,,,
main_list:85,unknown_collection,Oud Mumtaz,Oud Mumtaz,oud-mumtaz,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:86,inspired_collection,Khamrah Qahwa,Inspired by Lattafa Khamrah Qahwa,inspired-by-lattafa-khamrah-qahwa,listing_title_recorded,Lattafa,Khamrah Qahwa,india_counsel_pending,,,COM-ADR-033
main_list:87,inspired_collection,CR7 Sport,Inspired by Cristiano Ronaldo CR7 Sport,inspired-by-cristiano-ronaldo-cr7-sport,listing_title_recorded,Cristiano Ronaldo,CR7 Sport,india_counsel_pending,,,COM-ADR-033
main_list:88,unknown_collection,Fawake,Fawake,fawake,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:89,inspired_collection,Dareej,Inspired by Rasasi Daarej Pour Homme,inspired-by-rasasi-daarej-pour-homme,listing_title_recorded,Rasasi,Daarej Pour Homme,india_counsel_pending,,,COM-ADR-033
main_list:90,unknown_collection,Mysore Sandal,Mysore Sandal,mysore-sandal,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:91,inspired_collection,Sabaya,Inspired by Al-Rehab Sabaya,inspired-by-al-rehab-sabaya,listing_title_recorded,Al-Rehab,Sabaya,india_counsel_pending,,,COM-ADR-033
main_list:92,unknown_collection,Oud Saffron,Oud Saffron,oud-saffron,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:93,unknown_collection,Areen Al Oud,Areen Al Oud,areen-al-oud,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:94,inspired_collection,Imperial Valley,Inspired by Gissah Imperial Valley,inspired-by-gissah-imperial-valley,listing_title_recorded,Gissah,Imperial Valley,india_counsel_pending,,,COM-ADR-033
signature_series:1,signature_series,Regent Noir,Regent Noir,regent-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:2,signature_series,Velour Venom,Velour Venom,velour-venom,owner_approved,,,trademark_clearance_pending,,,
signature_series:3,signature_series,Serpent Noir,Serpent Noir,serpent-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:4,signature_series,Kingdom Elixir,Kingdom Elixir,kingdom-elixir,owner_approved,,,trademark_clearance_pending,,,
signature_series:5,signature_series,Azure Tides,Azure Tides,azure-tides,owner_approved,,,trademark_clearance_pending,,,
signature_series:6,signature_series,Crimson Elixir,Crimson Elixir,crimson-elixir,owner_approved,,,trademark_clearance_pending,,,
signature_series:7,signature_series,Eternal Athena,Eternal Athena,eternal-athena,owner_approved,,,trademark_clearance_pending,,,
signature_series:8,signature_series,Blush Petal,Blush Petal,blush-petal,owner_approved,,,trademark_clearance_pending,,,
signature_series:9,signature_series,Sahara Bloom,Sahara Bloom,sahara-bloom,owner_approved,,,trademark_clearance_pending,,,
signature_series:10,signature_series,Zayan Prestige,Zayan Prestige,zayan-prestige,owner_approved,,,trademark_clearance_pending,,,
signature_series:11,signature_series,Smoked Crimson,Smoked Crimson,smoked-crimson,owner_approved,,,trademark_clearance_pending,,,
signature_series:12,signature_series,Desert Crown Oud,Desert Crown Oud,desert-crown-oud,owner_approved,,,trademark_clearance_pending,,,
signature_series:13,signature_series,Oud of Dubai,Oud of Dubai,oud-of-dubai,owner_approved,,,trademark_clearance_pending,,,
signature_series:14,signature_series,Royal Stabler,Royal Stabler,royal-stabler,owner_approved,,,trademark_clearance_pending,,,
signature_series:15,signature_series,Velvet Petal,Velvet Petal,velvet-petal,owner_approved,,,trademark_clearance_pending,,,
signature_series:16,signature_series,Rouge Lumina,Rouge Lumina,rouge-lumina,owner_approved,,,trademark_clearance_pending,,,
signature_series:17,signature_series,Petalia Noir,Petalia Noir,petalia-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:18,signature_series,Rose Valeria,Rose Valeria,rose-valeria,owner_approved,,,trademark_clearance_pending,,,
signature_series:19,signature_series,Celestial Ember,Celestial Ember,celestial-ember,owner_approved,,,trademark_clearance_pending,,,
signature_series:20,signature_series,Visionnaire,Visionnaire,visionnaire,owner_approved,,,trademark_clearance_pending,,,
