source_key,category,source_name,proposed_public_name,public_slug,name_approval_status,reference_brand,reference_fragrance,legal_review_status,counsel_decision,counsel_conditions,evidence_reference
main_list:45,inspired_collection,Dior Homme Intense,Inspired by Dior Homme Intense,inspired-by-dior-homme-intense,listing_title_recorded,Dior,Dior Homme Intense,india_counsel_pending,,,
main_list:46,inspired_collection,Delina,Inspired by Parfums de Marly Delina,inspired-by-parfums-de-marly-delina,listing_title_recorded,Parfums de Marly,Delina family,india_counsel_pending,,,
main_list:48,inspired_collection,One Million Elixir,Inspired by Rabanne 1 Million Elixir,inspired-by-rabanne-1-million-elixir,listing_title_recorded,Rabanne,1 Million Elixir,india_counsel_pending,,,
main_list:49,inspired_collection,Narciso For Her,Inspired by Narciso Rodriguez for Her,inspired-by-narciso-rodriguez-for-her,listing_title_recorded,Narciso Rodriguez,for Her family,india_counsel_pending,,,
main_list:52,inspired_collection,Good Girl,Inspired by Carolina Herrera Good Girl,inspired-by-carolina-herrera-good-girl,listing_title_recorded,Carolina Herrera,Good Girl family,india_counsel_pending,,,
main_list:53,inspired_collection,Black Opium,Inspired by Yves Saint Laurent Black Opium,inspired-by-yves-saint-laurent-black-opium,listing_title_recorded,Yves Saint Laurent,Black Opium family,india_counsel_pending,,,
main_list:55,inspired_collection,Terre d'Hermes,Inspired by Hermès Terre d'Hermès,inspired-by-hermes-terre-dhermes,listing_title_recorded,Hermès,Terre d'Hermès family,india_counsel_pending,,,
main_list:58,inspired_collection,Tom Ford Tobacco Vanille,Inspired by Tom Ford Tobacco Vanille,inspired-by-tom-ford-tobacco-vanille,listing_title_recorded,Tom Ford,Tobacco Vanille,india_counsel_pending,,,
main_list:59,inspired_collection,VS Bombshell,Inspired by Victoria's Secret Bombshell,inspired-by-victorias-secret-bombshell,listing_title_recorded,Victoria's Secret,Bombshell family,india_counsel_pending,,,
main_list:60,inspired_collection,Bvlgari Man In Black,Inspired by Bvlgari Man in Black,inspired-by-bvlgari-man-in-black,listing_title_recorded,Bvlgari,Man in Black family,india_counsel_pending,,,
main_list:62,inspired_collection,Ombre Leather,Inspired by Tom Ford Ombré Leather,inspired-by-tom-ford-ombre-leather,listing_title_recorded,Tom Ford,Ombré Leather family,india_counsel_pending,,,
main_list:69,inspired_collection,Ameer Al Oud,Inspired by Lattafa Ameer Al Oudh,inspired-by-lattafa-ameer-al-oudh,listing_title_recorded,Lattafa,Ameer Al Oudh family,india_counsel_pending,,,
main_list:71,inspired_collection,Gucci Guilty,Inspired by Gucci Guilty,inspired-by-gucci-guilty,listing_title_recorded,Gucci,Guilty family,india_counsel_pending,,,
main_list:72,inspired_collection,Yara Candy,Inspired by Lattafa Yara Candy,inspired-by-lattafa-yara-candy,listing_title_recorded,Lattafa,Yara Candy,india_counsel_pending,,,
main_list:74,inspired_collection,Khamra,Inspired by Lattafa Khamrah,inspired-by-lattafa-khamrah,listing_title_recorded,Lattafa,Khamrah,india_counsel_pending,,,
main_list:78,inspired_collection,Bin Shaikh,Inspired by Ahmed Al Maghribi Bin Shaikh,inspired-by-ahmed-al-maghribi-bin-shaikh,listing_title_recorded,Ahmed Al Maghribi,Bin Shaikh,india_counsel_pending,,,
main_list:81,inspired_collection,Wisal,Inspired by Ajmal Wisal,inspired-by-ajmal-wisal,listing_title_recorded,Ajmal,Wisal,india_counsel_pending,,,
signature_series:1,signature_series,Regent Noir,Regent Noir,regent-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:2,signature_series,Velour Venom,Velour Venom,velour-venom,owner_approved,,,trademark_clearance_pending,,,
signature_series:3,signature_series,Serpenti Noir,Serpenti Noir,serpenti-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:4,signature_series,Kingdom Elixir,Kingdom Elixir,kingdom-elixir,owner_approved,,,trademark_clearance_pending,,,
signature_series:5,signature_series,Azure Tides,Azure Tides,azure-tides,owner_approved,,,trademark_clearance_pending,,,
signature_series:6,signature_series,Crimson Elixir,Crimson Elixir,crimson-elixir,owner_approved,,,trademark_clearance_pending,,,
signature_series:7,signature_series,Eternal Athena,Eternal Athena,eternal-athena,owner_approved,,,trademark_clearance_pending,,,
signature_series:8,signature_series,Blush Petal,Blush Petal,blush-petal,owner_approved,,,trademark_clearance_pending,,,
signature_series:9,signature_series,Sahara Bloom,Sahara Bloom,sahara-bloom,owner_approved,,,trademark_clearance_pending,,,
signature_series:10,signature_series,Zavan Prestige,Zavan Prestige,zavan-prestige,owner_approved,,,trademark_clearance_pending,,,
signature_series:11,signature_series,Smoked Crimson,Smoked Crimson,smoked-crimson,owner_approved,,,trademark_clearance_pending,,,
signature_series:12,signature_series,Desert Crown Oud,Desert Crown Oud,desert-crown-oud,owner_approved,,,trademark_clearance_pending,,,
signature_series:13,signature_series,Oud of Duraj,Oud of Duraj,oud-of-duraj,owner_approved,,,trademark_clearance_pending,,,
signature_series:14,signature_series,Royal Stablor,Royal Stablor,royal-stablor,owner_approved,,,trademark_clearance_pending,,,
signature_series:15,signature_series,Mbgamare,Mbgamare,mbgamare,owner_approved,,,trademark_clearance_pending,,,
signature_series:16,signature_series,Velvet Petal,Velvet Petal,velvet-petal,owner_approved,,,trademark_clearance_pending,,,
signature_series:17,signature_series,Rouge Lumina,Rouge Lumina,rouge-lumina,owner_approved,,,trademark_clearance_pending,,,
signature_series:18,signature_series,Petalia Noir,Petalia Noir,petalia-noir,owner_approved,,,trademark_clearance_pending,,,
signature_series:19,signature_series,Rose Valerio,Rose Valerio,rose-valerio,owner_approved,,,trademark_clearance_pending,,,
signature_series:20,signature_series,Celestial Ember,Celestial Ember,celestial-ember,owner_approved,,,trademark_clearance_pending,,,
signature_series:21,signature_series,Visionnaire,Visionnaire,visionnaire,owner_approved,,,trademark_clearance_pending,,,
