source_section,source_number,source_name,public_name,classification_status,launch_status,image_status,review_notes
main_list,40,Tom Ford Oud Wood,,unconfirmed,needs_review,missing,
main_list,41,I Want Choo,,unconfirmed,needs_review,missing,
main_list,42,Burberry Her,,unconfirmed,needs_review,missing,
main_list,43,1 Million,,unconfirmed,needs_review,missing,
main_list,44,Armani Passione,,unconfirmed,needs_review,missing,
main_list,45,Polo Sport Women,,unconfirmed,needs_review,missing,
main_list,46,Ultra Male,,unconfirmed,needs_review,missing,
main_list,47,Gucci Bloom,,unconfirmed,needs_review,missing,
main_list,48,Flower Bomb,,unconfirmed,needs_review,missing,
main_list,49,Coco Chanel,,unconfirmed,needs_review,missing,
main_list,50,Invictus,,unconfirmed,needs_review,missing,
main_list,51,YSL Libre,,unconfirmed,needs_review,missing,
main_list,52,Erba Pura,,unconfirmed,needs_review,missing,
main_list,53,Club de Nuit,,unconfirmed,needs_review,missing,
main_list,54,Baccarat Rouge 540,,unconfirmed,needs_review,missing,
main_list,55,Ombre Nomad,,unconfirmed,needs_review,missing,
main_list,56,Prada Candy,,unconfirmed,needs_review,missing,
main_list,57,Black Orchid,,unconfirmed,needs_review,missing,
main_list,58,Dior Homme Intense,,unconfirmed,needs_review,missing,
main_list,59,Delina,,unconfirmed,needs_review,missing,
main_list,60,Chocolate Musk,,unconfirmed,needs_review,missing,
main_list,61,One Million Elixir,,unconfirmed,needs_review,missing,
main_list,62,Narciso For Her,,unconfirmed,needs_review,missing,
main_list,63,Good Girl,,unconfirmed,needs_review,missing,
main_list,64,Black Opium,,unconfirmed,needs_review,missing,
main_list,65,Burberry Weekend,,unconfirmed,needs_review,missing,
main_list,66,Terre d'Hermes,,unconfirmed,needs_review,missing,
main_list,67,Tom Ford Tobacco Vanille,,unconfirmed,needs_review,missing,
main_list,68,VS Bombshell,,unconfirmed,needs_review,missing,
main_list,69,Bvlgari Man in Black,,unconfirmed,needs_review,missing,
main_list,70,Versace Dylan Blue,,unconfirmed,needs_review,missing,
main_list,71,Ombre Leather,,unconfirmed,needs_review,missing,
main_list,72,Oud of Aura,,unconfirmed,needs_review,missing,
main_list,73,Arabian Oud,,unconfirmed,needs_review,missing,
main_list,74,CK Escape,,unconfirmed,needs_review,missing,
main_list,75,Leather Noir,,unconfirmed,needs_review,missing,
main_list,76,Amber Al Oud,,unconfirmed,needs_review,missing,
main_list,77,Purple Oud,,unconfirmed,needs_review,missing,
main_list,78,Gucci Guilty,,unconfirmed,needs_review,missing,
main_list,79,Yara Candy,,unconfirmed,needs_review,missing,
main_list,80,Khamrah,,unconfirmed,needs_review,missing,
main_list,81,White Oud,,unconfirmed,needs_review,missing,
main_list,82,Candy Oud,,unconfirmed,needs_review,missing,
main_list,83,Coffee,,unconfirmed,needs_review,missing,
main_list,84,Wisal,,unconfirmed,needs_review,missing,
main_list,85,Oud Mumtaz,,unconfirmed,needs_review,missing,
main_list,86,Khamrah Qahwa,,unconfirmed,needs_review,missing,
main_list,87,CR7 Sport,,unconfirmed,needs_review,missing,
main_list,88,Fawake,,unconfirmed,needs_review,missing,
main_list,89,Dareej,,unconfirmed,needs_review,missing,
main_list,90,Mysore Sandal,,unconfirmed,needs_review,missing,
main_list,91,Sabaya,,unconfirmed,needs_review,missing,
main_list,92,Oud Saffron,,unconfirmed,needs_review,missing,
main_list,93,Areen Al Oud,,unconfirmed,needs_review,missing,
main_list,94,Imperial Valley,,unconfirmed,needs_review,missing,
signature_series,1,Regent Noir,,signature_series,needs_review,missing,
signature_series,2,Velour Venom,,signature_series,needs_review,missing,
signature_series,3,Serpent Noir,,signature_series,needs_review,missing,
signature_series,4,Kingdom Elixir,,signature_series,needs_review,missing,
signature_series,5,Azure Tides,,signature_series,needs_review,missing,
signature_series,6,Crimson Elixir,,signature_series,needs_review,missing,
signature_series,7,Eternal Athena,,signature_series,needs_review,missing,
signature_series,8,Blush Petal,,signature_series,needs_review,missing,
signature_series,9,Sahara Bloom,,signature_series,needs_review,missing,
signature_series,10,Zayan Prestige,,signature_series,needs_review,missing,
signature_series,11,Smoked Crimson,,signature_series,needs_review,missing,
signature_series,12,Desert Crown Oud,,signature_series,needs_review,missing,
signature_series,13,Oud of Dubai,,signature_series,needs_review,missing,
signature_series,14,Royal Stabler,,signature_series,needs_review,missing,
signature_series,15,Velvet Petal,,signature_series,needs_review,missing,
signature_series,16,Rouge Lumina,,signature_series,needs_review,missing,
signature_series,17,Petalia Noir,,signature_series,needs_review,missing,
signature_series,18,Rose Valeria,,signature_series,needs_review,missing,
signature_series,19,Celestial Ember,,signature_series,needs_review,missing,
signature_series,20,Visionnaire,,signature_series,needs_review,missing,
